Date,P1,P2,P3,Data
1/1/2011,-0.895471537,0.026179606,1.0000002,5.13070807
1/2/2011,-0.690983006,0.078530845,0.0000018,5.387547839
1/3/2011,1.5,0.130858162,0.000005,4.630858162
1/4/2011,1.669130606,0.183145619,0.0000098,4.852276225
1/5/2011,-0.190983006,0.235377287,0.0000162,3.044394282
1/6/2011,1.913545458,0.287537258,-0.9999758,4.201082715
1/7/2011,-0.021852399,0.339609641,1.0000338,2.317757242
1/8/2011,0,0.391578577,0.000045,6.391578577
1/9/2011,-0.021852399,0.443428233,-0.9999422,6.421575834
1/10/2011,-0.086454542,0.495142818,-0.9999278,5.408688275
1/11/2011,1.809016994,0.546706576,0.0000882,9.355723571
1/12/2011,1.669130606,0.598103803,0.0001058,8.26723441
1/13/2011,-0.5,0.649318842,1.000125,1.149318842
1/14/2011,1.309016994,0.700336092,-0.9998542,3.009353086
1/15/2011,-0.895471537,0.751140012,-0.9998318,3.855668475
1/16/2011,-0.104528463,0.801715128,-0.9998078,2.697186665
1/17/2011,-1.309016994,0.852046034,-0.9997822,2.54302904
1/18/2011,0.5,0.902117399,1.000245,5.402117399
1/19/2011,-1.669130606,0.951913969,1.0002738,6.282783363
1/20/2011,-1.809016994,1.001420578,-0.9996958,-0.807596417
1/21/2011,-0.913545458,1.050622144,1.0003362,8.137076686
1/22/2011,-1.978147601,1.09950368,1.0003698,2.121356079
1/23/2011,0,1.148050297,1.000405,5.148050297
1/24/2011,-1.978147601,1.196247207,-0.9995582,2.218099606
1/25/2011,0.086454542,1.244079728,-0.9995198,6.33053427
1/26/2011,0.190983006,1.29153329,1.0005202,9.482516296
1/27/2011,0.330869394,1.338593439,1.0005618,3.669462833
1/28/2011,0.5,1.38524584,1.000605,4.88524584
1/29/2011,-1.309016994,1.431476281,-0.9993502,10.12245929
1/30/2011,0.895471537,1.47727068,-0.9993038,9.372742217
1/31/2011,-0.895471537,1.522615089,-0.9992558,5.627143552
2/1/2011,1.309016994,1.567495694,0.0007938,6.876512689
2/2/2011,0.5,1.611898825,1.000845,4.111898825
2/3/2011,1.669130606,1.655810956,-0.9991022,7.324941562
2/4/2011,-0.190983006,1.699218711,0.0009522,1.508235705
2/5/2011,0.913545458,1.742108867,1.0010082,11.65565432
2/6/2011,0.978147601,1.78446836,-0.9989342,6.762615961
2/7/2011,2,1.826284287,-0.998875,12.82628429
2/8/2011,-0.021852399,1.86754391,0.0011858,6.845691511
2/9/2011,0.913545458,1.908234661,-0.9987518,7.821780118
2/10/2011,0.809016994,1.948344145,-0.9986878,11.75736114
2/11/2011,0.669130606,1.987860145,0.0013778,6.656990751
2/12/2011,-0.5,2.026770623,0.001445,10.52677062
2/13/2011,1.309016994,2.065063727,0.0015138,11.37408072
2/14/2011,1.104528463,2.102727793,1.0015842,8.207256256
2/15/2011,-0.104528463,2.139751347,1.0016562,6.035222884
2/16/2011,-0.309016994,2.176123113,-0.9982702,5.867106119
2/17/2011,0.5,2.21183201,-0.998195,2.71183201
2/18/2011,-0.669130606,2.246867162,1.0018818,1.577736556
2/19/2011,0.190983006,2.281217897,0.0019602,2.472200902
2/20/2011,0.086454542,2.31487375,-0.9979598,10.40132829
2/21/2011,-1.978147601,2.347824471,-0.9978782,7.36967687
2/22/2011,-2,2.380060021,-0.997795,6.380060021
2/23/2011,-0.978147601,2.411570582,1.0022898,10.43342298
2/24/2011,-0.913545458,2.442346555,-0.9976238,2.528801097
2/25/2011,-1.809016994,2.472378566,0.0024642,5.663361571
2/26/2011,-0.669130606,2.501657466,-0.9974462,1.83252686
2/27/2011,-1.5,2.530174337,1.002645,11.03017434
2/28/2011,-0.309016994,2.557920493,-0.9972622,12.2489035
3/1/2011,0.895471537,2.584887481,1.0028322,13.48035902
3/2/2011,0.104528463,2.611067088,1.0029282,10.71559555
3/3/2011,1.309016994,2.636451338,0.0030258,6.945468332
3/4/2011,0.5,2.6610325,1.003125,3.1610325
3/5/2011,-0.330869394,2.684803085,0.0032258,10.35393369
3/6/2011,0.809016994,2.707755853,1.0033282,9.516772847
3/7/2011,-0.086454542,2.729883813,0.0034322,5.64342927
3/8/2011,0.978147601,2.751180223,-0.9964622,7.729327824
3/9/2011,2,2.771638598,-0.996355,12.7716386
3/10/2011,0.978147601,2.791252704,1.0037538,10.7694003
3/11/2011,0.913545458,2.810016568,-0.9961358,12.72356203
3/12/2011,-0.190983006,2.827924473,1.0039762,5.636941468
3/13/2011,-0.330869394,2.844970966,1.0040898,8.514101572
3/14/2011,-0.5,2.861150852,1.004205,10.36115085
3/15/2011,-0.690983006,2.876459205,1.0043218,12.1854762
3/16/2011,-0.895471537,2.89089136,1.0044402,6.995419823
3/17/2011,0.895471537,2.904442921,1.0045602,13.79991446
3/18/2011,-1.309016994,2.917109761,1.0046818,7.608092767
3/19/2011,0.5,2.928888021,-0.995195,8.428888021
3/20/2011,-0.669130606,2.939774114,0.0049298,10.27064351
3/21/2011,-0.809016994,2.949764723,1.0050562,6.140747728
3/22/2011,-1.913545458,2.958856805,1.0051842,9.045311347
3/23/2011,-1.978147601,2.96704759,1.0053138,0.988899989
3/24/2011,-1,2.974334584,-0.994555,2.974334584
3/25/2011,0.021852399,2.980715567,-0.9944222,9.002567966
3/26/2011,0.086454542,2.986188595,1.0057122,12.07264314
3/27/2011,-1.809016994,2.990752001,0.0058482,2.181735007
3/28/2011,0.330869394,2.994404395,0.0059858,10.32527379
3/29/2011,0.5,2.997144665,-0.993875,7.497144665
3/30/2011,-0.309016994,2.998971975,1.0062658,8.689954981
3/31/2011,-1.104528463,2.999885769,0.0064082,1.895357306
4/1/2011,1.104528463,2.999885769,-0.9934478,11.10441423
4/2/2011,-0.690983006,2.998971975,1.0066978,5.307988969
4/3/2011,0.5,2.997144665,-0.993155,10.49714466
4/4/2011,0.669130606,2.994404395,-0.9930062,3.663535002
4/5/2011,1.809016994,2.990752001,-0.9928558,11.799769
4/6/2011,1.913545458,2.986188595,1.0072962,8.899734053
4/7/2011,-0.021852399,2.980715567,0.0074498,12.95886317
4/8/2011,0,2.974334584,1.007605,9.974334584
4/9/2011,-0.021852399,2.96704759,1.0077618,4.945195191
4/10/2011,-0.086454542,2.958856805,-0.9920798,5.872402262
4/11/2011,-0.190983006,2.949764723,0.0080802,2.758781717
4/12/2011,-0.330869394,2.939774114,1.0082418,11.60890472
4/13/2011,-0.5,2.928888021,0.008405,4.428888021
4/14/2011,1.309016994,2.917109761,0.0085698,6.226126756
4/15/2011,1.104528463,2.904442921,0.0087362,12.00897138
4/16/2011,-0.104528463,2.89089136,-0.9910958,6.786362896
4/17/2011,0.690983006,2.876459205,-0.9909262,6.56744221
4/18/2011,-1.5,2.861150852,-0.990755,6.361150852
4/19/2011,-1.669130606,2.844970966,1.0094178,3.175840359
4/20/2011,-0.809016994,2.827924473,-0.9904078,12.01890748
4/21/2011,0.086454542,2.810016568,-0.9902318,4.89647111
4/22/2011,-1.978147601,2.791252704,-0.9900542,1.813105103
4/23/2011,-1,2.771638598,-0.989875,10.7716386
4/24/2011,0.021852399,2.751180223,1.0103058,5.773032622
4/25/2011,0.086454542,2.729883813,0.0104882,3.816338355
4/26/2011,-0.809016994,2.707755853,-0.9893278,6.898738859
4/27/2011,0.330869394,2.684803085,-0.9891422,4.015672478
4/28/2011,-1.5,2.6610325,0.011045,9.1610325
4/29/2011,0.690983006,2.636451338,1.0112338,11.32743434
4/30/2011,-1.104528463,2.611067088,1.0114242,9.506538625
5/1/2011,-0.895471537,2.584887481,0.0116162,11.68941594
